"Property: Property Name","# of Dock Doors","# of Grade Level Doors","# of Parking Spaces","Available SF","Ceiling Height (ft)","City","Land Size (Acres)","Lease Price (PSF)","Net Operating Income","Lead Broker","Year Built","Warehouse Space (SF)","Price (PSF)","Price (per Unit)","Price (total)","Sprinkler Type","Unit Amenities","# of Bathrooms","# of Bedrooms","# of Buildings","# of Elevators","# Of Units","# of Floors","Access Frontage","Building Status","Sales (per SF)","Building Type","Lease Structure","Truck Court Depth (ft)","Traffic (per Day)","In-Place Rent (psf)","Building Size (SF)","Dock Height (ft)","Listing Status"
"2140 Creekview Dr","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","3000","","For Sale"
"704 N College Ave","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","3000","","For Sale"
"407 SW A St","","","","","","Bentonville","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","3000","","For Sale"
"3847 Bella Vista Way","","","","","","Bella Vista","0.00","31.00","","Corey","","","","","","","","","","","","","1","","","","","NNN","","","","1675","","For Sale"
"206 E Joyce Blvd","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","2972","","For Sale"
"123 N Block Ave","","","","","","Fayetteville","0.34","","","Corey","","","","","","","","","","","","","","","","","","","","","","2199","","For Sale"
"4305 S Thompson St","","","","","","Springdale","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","2940","","For Sale"
"506 509 515 Enterprise Dr","","","","","","Lowell","2.49","","","Clinton","","","","","","","","","","3","","","","","","","","","","","","108627","","For Sale"
"203 E Monroe Ave","","","","","","Lowell","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","2912","","For Sale"
"4600 & 4650 S Pinnacle Hills Parkway","","","","","","Rogers","12.26","","268144.68","Corey","2021","","","","","","","","","4","","","","","","","","NNN","","","","28075","","For Sale"
"103 Water Ave","","","","","","Elm Springs","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","1834","","For Sale"
"525 N 2nd St","","","","","","Rogers","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"1403 SE Moberly Ln","","","","","","Bentonville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","2800","","For Sale"
"186 N Cato Springs Rd","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","1808","","For Sale"
"409 SE 6th St","","","","","","Bentonville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","2685","","For Sale"
"161 W Main St","","","","","","Farmington","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"601 E Emma Ave","","","","","","Springdale","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","2685","","For Sale"
"1112 W Elm St","","","","","","Springdale","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","1113","","For Sale"
"307 W Hudson Rd","","","","","","Rogers","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","1800","","For Sale"
"1108 Backus Ave","","","","","","Springdale","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","2496","","For Sale"
"8054 W Wedington Dr","","","","","","Fayetteville","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","2120","","For Sale"
"700 W Centerton Blvd","","","","","","Centerton","0.00","","","Corey","","","","","","","","","","","","","","","","","","","","","","0","","For Sale"
"1501 W Walnut St","","","","","","Rogers","0.00","","","Clinton","","","","","","","","","","","","","","","","","","","","","","1104","","For Sale"
"1240 W Olive St","","","","","","Rogers","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","2120","","For Sale"
"702 N 2nd St","","","","","","Rogers","0.00","","","Cameron","","","","","","","","","","","","","","","","","","","","","","1361","","For Sale"
